Variable,Outlier Count,Lower Bound,Upper Bound,Outlier Percentage
actual_power_kW,0,-3311.1715698242124,6432.615051269519,0.0
wind_speed_m/s,673,-2.1441514492034246,18.735546350479016,1.573128257871485
theoretical_power_kW,0,-3547.032045163332,7309.189536989391,0.0
wind_direction_deg,0,-176.02925682067848,421.5738773345943,0.0
power_delta,3220,-289.03107585576885,543.9528347596147,7.526705780603539
eff,5887,0.5252015928990508,1.240566824744577,13.760781655407776
