,actual_power_kW,wind_speed_m/s,theoretical_power_kW,wind_direction_deg,power_delta,eff
actual_power_kW,1.0,0.9030131278514415,0.9388326764318929,0.02803033741924039,-0.12166348284239228,0.45993046494090034
wind_speed_m/s,0.9030131278514415,1.0,0.9354240022867423,0.05109040335454782,0.1427534211326116,0.3083789423578533
theoretical_power_kW,0.9388326764318929,0.9354240022867423,1.0,-0.008419576822693033,0.22759377748824042,0.2805172066708257
wind_direction_deg,0.02803033741924039,0.05109040335454782,-0.008419576822693033,1.0,-0.10352634675568823,0.0011487615223612084
power_delta,-0.12166348284239228,0.1427534211326116,0.22759377748824042,-0.10352634675568823,1.0,-0.49198529523416906
eff,0.45993046494090034,0.3083789423578533,0.2805172066708257,0.0011487615223612084,-0.49198529523416906,1.0
