,Mean,Median,Mode,Variance,Std Dev,Minimum,Maximum,Range,IQR
actual_power_kW,1544.4606657094273,1212.61596679687,0.0,1668976.6234333832,1291.8887813714396,-2.47140502929687,3618.73291015625,3621.204315185547,2435.946655273433
wind_speed_m/s,8.568724705715328,7.93098306655883,6.11281776428222,14.359116726847878,3.789342519072125,3.00068402290344,25.2060108184814,22.20532679557796,5.21992444992061
theoretical_power_kW,1762.4559066708298,1490.72465111563,3600.0,1734096.779815295,1316.8510849049314,16.0219261638968,3600.0,3583.9780738361032,2714.0553955381806
wind_direction_deg,115.75113970695588,70.2600936889648,0.0,7674.580212248527,87.60468145166973,0.0,359.997589111328,359.997589111328,149.4007835388182
power_delta,217.99524096140257,96.61878881926202,3600.0,208741.89420566644,456.8828013896632,-598.741011166776,3600.0,4198.741011166776,208.2459776538459
eff,0.8111924834265638,0.8875014844475168,0.0,0.09653444761372228,0.31069993178905314,-0.1326575008282275,6.29531655930274,6.427974060130968,0.17884130796138153
