,actual_power_kW,wind_speed_m/s,theoretical_power_kW,wind_direction_deg,power_delta,eff
actual_power_kW,1668976.623433328,4420.61867371748,1597165.7545215036,3172.3475973128698,-71810.86891182238,184.61137721510636
wind_speed_m/s,4420.61867371748,14.35911672684773,4667.765591170151,16.96018203125672,247.14691745267294,0.3630694735602165
theoretical_power_kW,1597165.7545215036,4667.765591170151,1734096.7798153518,-971.3019141044167,136931.02529384603,114.77236463556257
wind_direction_deg,3172.3475973128698,16.96018203125672,-971.3019141044167,7674.580212248583,-4143.649511417283,0.03126787399794017
power_delta,-71810.86891182238,247.14691745267294,136931.02529384603,-4143.649511417283,208741.8942056686,-69.83901257954395
eff,184.61137721510636,0.3630694735602165,114.77236463556257,0.03126787399794017,-69.83901257954395,0.09653444761372514
